problem,algorithm,actions,expansions,goal_tests,new_nodes,plan_length,execution_time
1,breadth_first_search,20,43,56,178,6,0.022631607003859244
1,depth_first_graph_search,20,21,22,84,20,0.006242064002435654
1,uniform_cost_search,20,60,62,240,6,0.017547973999171518
1,greedy_best_first_graph_search with h_unmet_goals,20,7,9,29,6,0.0016673639984219335
1,greedy_best_first_graph_search with h_pg_levelsum,20,6,8,28,6,0.36477277200174285
1,greedy_best_first_graph_search with h_pg_maxlevel,20,6,8,24,6,0.13464654899871675
1,greedy_best_first_graph_search with h_pg_setlevel,20,6,8,28,6,0.6093757769995136
1,astar_search with h_unmet_goals,20,50,52,206,6,0.009193259000312537
1,astar_search with h_pg_levelsum,20,28,30,122,6,0.2822802020018571
1,astar_search with h_pg_maxlevel,20,43,45,180,6,0.12307780200353591
1,astar_search with h_pg_setlevel,20,33,35,138,6,0.3450467450020369
2,breadth_first_search,72,3343,4609,30503,9,0.3010065470007248
2,depth_first_graph_search,72,624,625,5602,619,0.4129869669995969
2,uniform_cost_search,72,5154,5156,46618,9,0.5481819220003672
2,greedy_best_first_graph_search with h_unmet_goals,72,17,19,170,9,0.01331846100219991
2,greedy_best_first_graph_search with h_pg_levelsum,72,9,11,86,9,0.3630381170005421
2,greedy_best_first_graph_search with h_pg_maxlevel,72,27,29,249,9,0.6195863270040718
2,greedy_best_first_graph_search with h_pg_setlevel,72,9,11,84,9,1.191494386002887
2,astar_search with h_unmet_goals,72,2467,2469,22522,9,0.5771889009993174
2,astar_search with h_pg_levelsum,72,357,359,3426,9,9.294132559996797
2,astar_search with h_pg_maxlevel,72,2887,2889,26594,9,52.78000396900461
2,astar_search with h_pg_setlevel,72,1037,1039,9605,9,105.68229104099737
3,breadth_first_search,88,14663,18098,129625,12,0.8513432380059385
3,depth_first_graph_search,88,408,409,3364,392,0.2093684029969154
3,uniform_cost_search,88,18510,18512,161936,12,1.3510133769959793
3,greedy_best_first_graph_search with h_unmet_goals,88,25,27,230,15,0.012071589000697713
3,greedy_best_first_graph_search with h_pg_levelsum,88,14,16,126,14,1.5492541000057827
3,greedy_best_first_graph_search with h_pg_maxlevel,88,21,23,195,13,0.8265248220050125
3,greedy_best_first_graph_search with h_pg_setlevel,88,35,37,345,17,7.368582969997078
3,astar_search with h_unmet_goals,88,7388,7390,65711,12,1.1316072400004487
3,astar_search with h_pg_levelsum,88,369,371,3403,12,18.096431363999727
3,astar_search with h_pg_maxlevel,88,9580,9582,86312,12,326.4271363320004
3,astar_search with h_pg_setlevel,88,3423,3425,31596,12,549.5988729320015
4,breadth_first_search,104,99736,114953,944130,14,4.419488714003819
4,depth_first_graph_search,104,25174,25175,228849,24132,999.9685229440001
4,uniform_cost_search,104,113339,113341,1066413,14,9.215408815995033
4,greedy_best_first_graph_search with h_unmet_goals,104,29,31,280,18,0.05274322000332177
4,greedy_best_first_graph_search with h_pg_levelsum,104,17,19,165,17,1.4857456989993807
4,greedy_best_first_graph_search with h_pg_maxlevel,104,56,58,580,17,2.56438733899995
4,greedy_best_first_graph_search with h_pg_setlevel,104,107,109,1164,23,37.62593612299679
4,astar_search with h_unmet_goals,104,34330,34332,328509,14,4.743121505998715
4,astar_search with h_pg_levelsum,104,1208,1210,12210,15,118.65064997599984
4,astar_search with h_pg_maxlevel,104,62077,62079,599376,14,3863.4933505040026
4,astar_search with h_pg_setlevel,104,22606,22608,224229,14,6845.869624018997
